time,prediction,actual
2022-12-31 00:00:00,2069.6353,2035.8
2022-12-31 01:00:00,1972.742,1914.97
2022-12-31 02:00:00,1908.8843,1857.7
2022-12-31 03:00:00,1879.5083,1848.86
2022-12-31 04:00:00,1865.4966,1794.54
2022-12-31 05:00:00,1908.7582,1821.88
2022-12-31 06:00:00,2012.8228,1881.39
2022-12-31 07:00:00,2082.3708,1907.1
2022-12-31 08:00:00,2060.801,1919.67
2022-12-31 09:00:00,2004.5736,1918.57
2022-12-31 10:00:00,1967.1478,2040.01
2022-12-31 11:00:00,1977.8303,2080.7
2022-12-31 12:00:00,2142.3816,2112.3
2022-12-31 13:00:00,2146.2397,2072.01
2022-12-31 14:00:00,2144.49,2157.37
2022-12-31 15:00:00,2217.731,2263.16
2022-12-31 16:00:00,2357.2551,2406.09
2022-12-31 17:00:00,2523.0474,2567.19
2022-12-31 18:00:00,2528.9097,2543.11
2022-12-31 19:00:00,2492.6362,2453.8
2022-12-31 20:00:00,2426.165,2361.13
2022-12-31 21:00:00,2344.4675,2275.44
2022-12-31 22:00:00,2189.446,2172.14
2022-12-31 23:00:00,2068.8435,2110.81
